date,symbol,Open,High,Low,Volume,Close
2026-01-31,NLG,28900,29450,28650,3032700,28450
2026-02-01,NLG,28900,29450,28650,3032700,28450
2026-02-02,NLG,29450,29450,28200,2752600,29450
2026-02-04,NLG,28650,28850,28250,1513000,28550
2026-02-04,NLG,28650,28850,28250,3493300,28550
2026-02-05,NLG,28600,29050,28550,1696500,28600
2026-02-08,NLG,28150,28250,27050,4873200,28600
2026-02-09,NLG,27400,27550,26850,2589000,27050
2026-02-12,NLG,28800,29800,28650,4216700,28900
2026-02-13,NLG,29500,29500,29000,2292000,29700
2026-02-14,NLG,29500,29500,29000,2292000,29700
2026-02-15,NLG,29500,29500,29000,2292000,29700
2026-02-23,NLG,29000,29000,28400,2474500,29000
2026-02-25,NLG,28650,28850,28000,3606300,28650
2026-02-26,NLG,28400,28450,28000,1847800,28050
2026-02-28,NLG,28400,28400,27750,2446000,28350
2026-03-04,NLG,25950,26300,24500,6702900,25950
2026-03-05,NLG,26150,26800,25500,3415600,25700
2026-03-07,NLG,25900,26550,25600,4071600,25600
2026-03-08,NLG,25900,26550,25600,4071600,25600
2026-03-11,NLG,26000,27050,25900,6067800,25850
2026-03-12,NLG,26350,27150,26050,3474300,26850
2026-03-14,NLG,26800,27500,26400,4883400,26900
2026-03-15,NLG,26800,27500,26400,4883400,26900
2026-03-18,NLG,27700,28150,27000,2755200,27800
2026-03-26,NLG,29550,29550,28400,4304500,29300
2026-03-29,NLG,28300,29450,28300,5347500,28400
2026-04-08,NLG,28800,29600,28350,4280700,27700
