date,symbol,Open,High,Low,Volume,Close
2026-01-31,NT2,26400,26700,26150,950100,26250
2026-02-01,NT2,26400,26700,26150,950100,26250
2026-02-02,NT2,26300,26900,26200,1602800,26300
2026-02-04,NT2,26550,26850,26500,635800,26600
2026-02-04,NT2,26550,27150,26500,1658600,26600
2026-02-05,NT2,27250,27400,26600,1212500,27050
2026-02-08,NT2,26500,27400,26100,2061400,26750
2026-02-09,NT2,26800,27350,26650,1059500,26750
2026-02-12,NT2,27000,27400,26850,817000,26900
2026-02-13,NT2,26900,27250,26900,585400,27050
2026-02-14,NT2,26900,27250,26900,585400,27050
2026-02-15,NT2,26900,27250,26900,585400,27050
2026-02-23,NT2,27400,27700,27250,1082800,27250
2026-02-25,NT2,28450,28450,27750,1042500,28200
2026-02-26,NT2,27800,27900,26950,2929900,27800
2026-02-28,NT2,27600,28300,27500,1621400,27600
2026-03-04,NT2,28700,29300,26900,3783000,28800
2026-03-05,NT2,28450,28450,27400,1296800,28000
2026-03-07,NT2,28200,28200,27200,910500,28200
2026-03-08,NT2,28200,28200,27200,910500,28200
2026-03-11,NT2,25500,26400,25500,768100,25500
2026-03-12,NT2,26400,27300,26150,1743000,26350
2026-03-14,NT2,26500,27100,26400,873100,26500
2026-03-15,NT2,26500,27100,26400,873100,26500
2026-03-18,NT2,25550,26100,25450,901800,25550
2026-03-26,NT2,28150,28150,27100,1455700,27700
2026-03-29,NT2,27700,28000,27250,950600,27750
2026-04-08,NT2,25950,26300,25500,602200,25200
