date,symbol,Open,High,Low,Volume,Close
2026-02-02,NVL,13300,13400,12600,11835500,13000
2026-02-04,NVL,12850,12850,12550,2771600,12850
2026-02-04,NVL,12850,12850,12550,4681100,12850
2026-02-05,NVL,12550,12700,12350,4754600,12550
2026-02-08,NVL,12100,12450,12000,7101300,12350
2026-02-09,NVL,12150,12400,12100,3929200,12200
2026-02-12,NVL,12800,13000,12650,5348900,12800
2026-02-13,NVL,12950,12950,12650,5097700,12950
2026-02-14,NVL,12950,12950,12650,5097700,12950
2026-02-15,NVL,12950,12950,12650,5097700,12950
2026-02-23,NVL,12750,12800,12600,2900000,12650
2026-02-25,NVL,12750,12900,12600,4315700,12750
2026-02-26,NVL,12650,12800,12500,4121000,12650
2026-02-28,NVL,12650,12650,12200,6771300,12600
2026-03-04,NVL,11550,11750,10900,14106300,11550
2026-03-05,NVL,11450,11600,11100,7449900,11100
2026-03-07,NVL,11400,11450,11100,5562800,11150
2026-03-08,NVL,11400,11450,11100,5562800,11150
2026-03-11,NVL,10600,11300,10550,9647400,10650
2026-03-12,NVL,11000,11850,10950,19587600,11100
2026-03-14,NVL,12000,12650,11900,23778300,11850
2026-03-15,NVL,12000,12650,11900,23778300,11850
2026-03-18,NVL,13350,13500,12800,15001900,13400
2026-03-26,NVL,13800,14500,13550,21341200,13800
2026-03-29,NVL,14100,14900,13950,22253900,14200
2026-04-08,NVL,15200,15750,14900,30279800,14750
