date,symbol,Open,High,Low,Volume,Close
2026-01-31,OCB,11800,11850,11700,1483400,11700
2026-02-01,OCB,11800,11850,11700,1483400,11700
2026-02-02,OCB,11950,11950,11750,875500,11800
2026-02-04,OCB,11750,11800,11700,780700,11800
2026-02-04,OCB,11750,11800,11700,1403800,11800
2026-02-05,OCB,11800,11800,11650,1118800,11750
2026-02-08,OCB,11650,11700,11550,2193000,11700
2026-02-09,OCB,11600,11600,11450,1464200,11550
2026-02-12,OCB,11600,11700,11600,650500,11600
2026-02-13,OCB,11600,11650,11550,833400,11600
2026-02-14,OCB,11600,11650,11550,833400,11600
2026-02-15,OCB,11600,11650,11550,833400,11600
2026-02-23,OCB,11650,11700,11600,1479600,11600
2026-02-25,OCB,11600,11850,11550,2691100,11600
2026-02-26,OCB,11850,11850,11650,999800,11800
2026-02-28,OCB,11700,11750,11600,1075200,11700
2026-03-04,OCB,11300,11450,10950,4125200,11350
2026-03-05,OCB,11400,11400,11200,1150300,11200
2026-03-07,OCB,11200,11250,11100,651100,11200
2026-03-08,OCB,11200,11250,11100,651100,11200
2026-03-11,OCB,10700,11050,10650,2638800,10650
2026-03-12,OCB,10850,10850,10650,1573200,10850
2026-03-14,OCB,10700,10750,10600,1195400,10700
2026-03-15,OCB,10700,10750,10600,1195400,10700
2026-03-18,OCB,10900,11000,10800,1451500,10900
2026-03-26,OCB,11250,11300,11050,1034300,11200
2026-03-29,OCB,11150,11250,11050,1186000,11150
2026-04-08,OCB,11200,11600,11050,3582300,10900
