date,symbol,Open,High,Low,Volume,Close
2026-01-31,PAN,29700,30100,29450,776900,29700
2026-02-01,PAN,29700,30100,29450,776900,29700
2026-02-02,PAN,29750,30150,29350,1177400,29800
2026-02-04,PAN,31550,33350,31050,878400,31400
2026-02-04,PAN,31550,33350,31000,1305100,31400
2026-02-05,PAN,31400,31500,30500,714800,31400
2026-02-08,PAN,30500,30600,29950,857500,30950
2026-02-09,PAN,30000,30550,29650,557900,30200
2026-02-12,PAN,30900,31750,30900,1449800,30850
2026-02-13,PAN,31850,31900,31250,352100,31700
2026-02-14,PAN,31850,31900,31250,352100,31700
2026-02-15,PAN,31850,31900,31250,352100,31700
2026-02-23,PAN,32000,32550,31850,1131500,31600
2026-02-25,PAN,32450,32600,31950,976000,32250
2026-02-26,PAN,32200,32500,32000,667400,32200
2026-02-28,PAN,32050,33000,31750,1649500,32100
2026-03-04,PAN,33500,35000,32500,3189000,33700
2026-03-05,PAN,34950,34950,33600,1568900,34300
2026-03-07,PAN,33250,33650,32800,1232900,33650
2026-03-08,PAN,33250,33650,32800,1232900,33650
2026-03-11,PAN,31950,32800,31800,752400,31950
2026-03-12,PAN,32400,32650,31850,907300,32450
2026-03-14,PAN,31800,32350,31450,781900,31900
2026-03-15,PAN,31800,32350,31450,781900,31900
2026-03-18,PAN,32400,32550,32100,560300,32400
2026-03-26,PAN,28900,29350,28750,445400,28750
2026-03-29,PAN,30450,30850,30000,1160900,29200
2026-04-08,PAN,31800,32350,31650,613100,31350
