date,symbol,Open,High,Low,Volume,Close
2026-01-31,PC1,24600,24950,24200,8072600,24000
2026-02-01,PC1,24600,24950,24200,8072600,24000
2026-02-02,PC1,24950,25300,24600,10712500,24200
2026-02-04,PC1,25850,26700,25300,5926100,25700
2026-02-04,PC1,25850,27400,25300,12103000,25700
2026-02-05,PC1,26250,26700,25650,4800700,26150
2026-02-08,PC1,25300,25450,24700,7370700,25650
2026-02-09,PC1,24900,25350,24850,3148300,24700
2026-02-12,PC1,25600,25850,25300,2047900,25500
2026-02-13,PC1,25700,26800,25600,6364700,25600
2026-02-14,PC1,25700,26800,25600,6364700,25600
2026-02-15,PC1,25700,26800,25600,6364700,25600
2026-02-23,PC1,26500,27400,25900,6000800,26250
2026-02-25,PC1,26250,27050,26100,6933800,26100
2026-02-26,PC1,26900,28200,26500,21679600,26400
2026-02-28,PC1,29000,30150,28700,16148900,28200
2026-03-04,PC1,31200,31200,29200,14651000,31350
2026-03-05,PC1,29350,30300,28550,14899900,29200
2026-03-07,PC1,28700,29600,28000,9651200,29000
2026-03-08,PC1,28700,29600,28000,9651200,29000
2026-03-11,PC1,25750,27200,25750,7383700,25750
2026-03-12,PC1,26700,27850,26250,7914700,26700
2026-03-14,PC1,27150,28500,26400,10219300,27300
2026-03-15,PC1,27150,28500,26400,10219300,27300
2026-03-18,PC1,25550,26450,25500,4998700,25500
2026-03-26,PC1,28900,29450,28100,12731200,27900
2026-03-29,PC1,28150,29650,27850,11259300,28300
2026-04-08,PC1,26700,27600,26200,6689000,25800
