date,symbol,Open,High,Low,Volume,Close
2026-01-31,PDR,17500,17950,17350,10651800,17300
2026-02-01,PDR,17500,17950,17350,10651800,17300
2026-02-02,PDR,17900,18150,17650,11355000,17700
2026-02-04,PDR,17750,17750,17450,2455200,17700
2026-02-04,PDR,17750,17850,17450,5494300,17700
2026-02-05,PDR,17800,17950,17250,7673500,17750
2026-02-08,PDR,17250,17250,16800,9062200,17450
2026-02-09,PDR,17000,17300,16850,3906400,17000
2026-02-12,PDR,17900,17950,17600,3902800,17900
2026-02-13,PDR,17600,17700,17400,5315600,17700
2026-02-14,PDR,17600,17700,17400,5315600,17700
2026-02-15,PDR,17600,17700,17400,5315600,17700
2026-02-23,PDR,17600,17650,17300,5116000,17400
2026-02-25,PDR,17300,17400,17000,8467700,17300
2026-02-26,PDR,17000,17200,16850,5115600,17000
2026-02-28,PDR,17000,17000,16200,16137700,16900
2026-03-04,PDR,15450,15600,14600,15752100,15600
2026-03-05,PDR,15650,15800,15300,12684400,15600
2026-03-07,PDR,15650,15650,15300,7560500,15650
2026-03-08,PDR,15650,15650,15300,7560500,15650
2026-03-11,PDR,14350,15400,14250,12365900,14600
2026-03-12,PDR,15100,15400,14850,8338100,15300
2026-03-14,PDR,14900,15700,14900,10997400,15250
2026-03-15,PDR,14900,15700,14900,10997400,15250
2026-03-18,PDR,15200,15300,14800,5887800,15250
2026-03-26,PDR,15300,15600,15150,7475000,15300
2026-03-29,PDR,15300,16400,15200,26467800,15350
2026-04-08,PDR,16100,16650,15900,16441600,15700
