date,symbol,Open,High,Low,Volume,Close
2026-01-31,PHR,63100,64900,62200,763700,62000
2026-02-01,PHR,63100,64900,62200,763700,62000
2026-02-02,PHR,64300,65000,62500,957700,64300
2026-02-04,PHR,68600,68700,67400,773000,67900
2026-02-04,PHR,68600,68700,66300,1301600,67900
2026-02-05,PHR,66600,66800,63100,1273900,67000
2026-02-08,PHR,62000,63000,58800,1759300,63100
2026-02-09,PHR,59500,60000,58400,428500,58800
2026-02-12,PHR,59100,59200,58700,269200,58000
2026-02-13,PHR,59000,60400,58500,483000,59000
2026-02-14,PHR,59000,60400,58500,483000,59000
2026-02-15,PHR,59000,60400,58500,483000,59000
2026-02-23,PHR,60600,62200,60600,628000,60400
2026-02-25,PHR,63700,64600,63100,931600,63200
2026-02-26,PHR,63700,63900,62700,569200,63700
2026-02-28,PHR,63900,64800,63100,454000,63700
2026-03-04,PHR,68900,69900,64200,1395900,69000
2026-03-05,PHR,65900,65900,62000,800100,65900
2026-03-07,PHR,61700,63300,61200,415700,62000
2026-03-08,PHR,61700,63300,61200,415700,62000
2026-03-11,PHR,57800,61000,57800,254300,58200
2026-03-12,PHR,59600,62400,59600,460600,60300
2026-03-14,PHR,60200,61900,60200,388300,61500
2026-03-15,PHR,60200,61900,60200,388300,61500
2026-03-18,PHR,62000,62200,61000,224300,61000
2026-03-26,PHR,59500,60800,59000,178000,59500
2026-03-29,PHR,60800,63500,60300,500200,60500
2026-04-08,PHR,61600,63000,61500,314700,60500
