date,symbol,Open,High,Low,Volume,Close
2026-01-31,PLX,58400,59500,57700,6913800,57700
2026-02-01,PLX,58400,59500,57700,6913800,57700
2026-02-02,PLX,57300,60900,56800,10121500,58900
2026-02-04,PLX,60000,61300,58700,2448000,60000
2026-02-04,PLX,60000,61300,58700,5519900,60000
2026-02-05,PLX,60000,60700,57400,7237200,60000
2026-02-08,PLX,56500,59600,54300,10233300,57400
2026-02-09,PLX,57500,58200,56500,2437900,57000
2026-02-12,PLX,52600,53300,51600,2640700,51700
2026-02-13,PLX,51600,52700,50700,3678600,51700
2026-02-14,PLX,51600,52700,50700,3678600,51700
2026-02-15,PLX,51600,52700,50700,3678600,51700
2026-02-23,PLX,54500,55600,53300,2808000,52000
2026-02-25,PLX,57700,59800,57000,9033300,57700
2026-02-26,PLX,58500,58600,56000,4712800,58000
2026-02-28,PLX,58300,61200,57500,6852500,57500
2026-03-04,PLX,68000,70400,66000,11579000,66100
2026-03-05,PLX,69400,69500,64700,10215500,69500
2026-03-07,PLX,63600,67000,60800,11602800,64700
2026-03-08,PLX,63600,67000,60800,11602800,64700
2026-03-11,PLX,51600,55200,51400,8718600,53700
2026-03-12,PLX,55000,55200,52000,7032400,55200
2026-03-14,PLX,52000,54400,48400,11908400,52000
2026-03-15,PLX,52000,54400,48400,11908400,52000
2026-03-18,PLX,45200,48800,45200,6619900,45650
2026-03-26,PLX,41300,41300,39700,4222400,41300
2026-03-29,PLX,40200,42400,40000,6104900,39900
2026-04-08,PLX,39500,40750,38950,3490600,38600
