date,symbol,Open,High,Low,Volume,Close
2026-01-31,PNJ,124800,127000,121500,3736300,126500
2026-02-01,PNJ,124800,127000,121500,3736300,126500
2026-02-02,PNJ,123300,123600,118200,3359900,127000
2026-02-04,PNJ,120700,121000,119100,1380600,120000
2026-02-04,PNJ,120700,121000,119000,2147700,120000
2026-02-05,PNJ,119900,120000,114400,2863500,119700
2026-02-08,PNJ,113000,113000,108100,5025100,116200
2026-02-09,PNJ,110500,113800,110000,2245000,108900
2026-02-12,PNJ,115900,119900,113000,1754400,115900
2026-02-13,PNJ,117000,120000,115400,1728500,118500
2026-02-14,PNJ,117000,120000,115400,1728500,118500
2026-02-15,PNJ,117000,120000,115400,1728500,118500
2026-02-23,PNJ,120300,121900,119300,1204700,120000
2026-02-25,PNJ,121300,121300,112100,2794900,120500
2026-02-26,PNJ,118800,121900,117000,2723400,119500
2026-02-28,PNJ,120900,122200,119600,2033500,120000
2026-03-04,PNJ,118900,120900,114900,3158200,122000
2026-03-05,PNJ,119800,119800,113000,2272900,120900
2026-03-07,PNJ,115000,116000,110600,2642800,116000
2026-03-08,PNJ,115000,116000,110600,2642800,116000
2026-03-11,PNJ,113300,119500,111500,1930700,113500
2026-03-12,PNJ,118600,118600,115000,997100,119000
2026-03-14,PNJ,115000,117400,114900,1048900,117900
2026-03-15,PNJ,115000,117400,114900,1048900,117900
2026-03-18,PNJ,117700,117700,113500,878600,117700
2026-03-26,PNJ,111000,111500,103300,2293700,111000
2026-03-29,PNJ,102800,109900,100700,2116700,106000
2026-04-08,PNJ,103500,107000,102700,971800,100000
