date,symbol,Open,High,Low,Volume,Close
2026-01-31,POW,13550,13850,13500,13390500,13400
2026-02-01,POW,13550,13850,13500,13390500,13400
2026-02-02,POW,13950,14350,13700,20015100,13750
2026-02-04,POW,14400,14750,14250,17018800,14300
2026-02-04,POW,14400,14750,14250,27814500,14300
2026-02-05,POW,14500,14700,14200,13901600,14450
2026-02-08,POW,14050,14150,13500,21388700,14200
2026-02-09,POW,13700,13800,13400,8185700,13500
2026-02-12,POW,13250,13450,13200,3920800,13200
2026-02-13,POW,13300,13450,13200,4231000,13300
2026-02-14,POW,13300,13450,13200,4231000,13300
2026-02-15,POW,13300,13450,13200,4231000,13300
2026-02-23,POW,13600,13900,13550,10127000,13400
2026-02-25,POW,14000,14400,13950,17945000,13900
2026-02-26,POW,14300,14350,13950,10419200,14300
2026-02-28,POW,14300,14950,14300,24747100,14100
2026-03-04,POW,16800,16850,15400,73310900,16550
2026-03-05,POW,15650,15900,15000,36127200,15450
2026-03-07,POW,15050,15350,14500,32295600,15150
2026-03-08,POW,15050,15350,14500,32295600,15150
2026-03-11,POW,13100,13650,13000,14643700,13100
2026-03-12,POW,13600,13750,13200,14291100,13550
2026-03-14,POW,13450,13850,13200,25916300,13400
2026-03-15,POW,13450,13850,13200,25916300,13400
2026-03-18,POW,13100,13450,13000,10649700,13100
2026-03-26,POW,13350,13350,13050,7804900,13350
2026-03-29,POW,13050,13150,12900,12089900,13100
2026-04-08,POW,12800,13000,12650,11313600,12500
