date,symbol,Open,High,Low,Volume,Close
2026-01-31,PVD,30550,31700,30200,13853100,30000
2026-02-01,PVD,30550,31700,30200,13853100,30000
2026-02-02,PVD,30950,33150,30400,21425600,31000
2026-02-04,PVD,32650,33650,32550,4736900,33000
2026-02-04,PVD,32650,33650,32500,10564900,33000
2026-02-05,PVD,33650,34350,32800,11011500,33500
2026-02-08,PVD,32800,34100,31300,14503300,33550
2026-02-09,PVD,33150,34000,32800,6444700,32850
2026-02-12,PVD,33150,33900,32850,6104400,32600
2026-02-13,PVD,33050,34150,32900,5603400,33150
2026-02-14,PVD,33050,34150,32900,5603400,33150
2026-02-15,PVD,33050,34150,32900,5603400,33150
2026-02-23,PVD,35400,36500,35050,10959500,34150
2026-02-25,PVD,37200,37950,36200,8069000,37000
2026-02-26,PVD,36700,37400,35700,9986000,36600
2026-02-28,PVD,37550,39500,37300,8039300,37400
2026-03-04,PVD,45000,45500,41650,15683700,44150
2026-03-05,PVD,44300,44800,42000,15787800,45000
2026-03-07,PVD,42500,43100,41500,10125600,42250
2026-03-08,PVD,42500,43100,41500,10125600,42250
2026-03-11,PVD,39300,41200,38000,5064600,39550
2026-03-12,PVD,41950,41950,40500,3541900,41200
2026-03-14,PVD,41000,42300,38400,11034200,41250
2026-03-15,PVD,41000,42300,38400,11034200,41250
2026-03-18,PVD,34350,37100,34300,6348700,34700
2026-03-26,PVD,34700,34750,33300,4219300,34750
2026-03-29,PVD,34800,36050,34750,5186400,34700
2026-04-08,PVD,32750,33000,32050,4670200,32250
