date,symbol,Open,High,Low,Volume,Close
2026-01-31,PVT,20800,21400,20700,4639700,20500
2026-02-01,PVT,20800,21400,20700,4639700,20500
2026-02-02,PVT,20600,21700,20300,6909000,20750
2026-02-04,PVT,21900,23000,21700,6053300,21900
2026-02-04,PVT,21900,23000,21700,10273300,21900
2026-02-05,PVT,22700,22750,21750,4664400,22550
2026-02-08,PVT,21300,21650,20700,5997400,21750
2026-02-09,PVT,21300,21300,20700,2346900,20900
2026-02-12,PVT,20500,20600,20100,1154300,20150
2026-02-13,PVT,20100,20200,19900,1759500,20150
2026-02-14,PVT,20100,20200,19900,1759500,20150
2026-02-15,PVT,20100,20200,19900,1759500,20150
2026-02-23,PVT,20600,21100,20550,3593700,20050
2026-02-25,PVT,22200,22250,21700,5811900,22000
2026-02-26,PVT,21650,22600,21650,7829600,21700
2026-02-28,PVT,23000,24050,22950,21985800,22500
2026-03-04,PVT,28200,29350,27300,29040300,27450
2026-03-05,PVT,29750,31400,27850,25968800,29350
2026-03-07,PVT,29700,30700,28700,24766900,28700
2026-03-08,PVT,29700,30700,28700,24766900,28700
2026-03-11,PVT,25500,27750,25100,22483900,26600
2026-03-12,PVT,28100,28150,26400,11043400,27750
2026-03-14,PVT,26800,27850,24650,24641800,26500
2026-03-15,PVT,26800,27850,24650,24641800,26500
2026-03-18,PVT,23300,24800,23000,13274800,23200
2026-03-26,PVT,21850,22700,21150,13267800,21700
2026-03-29,PVT,22500,22650,22050,9317400,22400
2026-04-08,PVT,21450,22050,21050,8833700,20900
