date,symbol,Open,High,Low,Volume,Close
2026-01-31,REE,62400,62500,61800,740500,62000
2026-02-01,REE,62400,62500,61800,740500,62000
2026-02-02,REE,62200,62200,61000,1188800,62100
2026-02-04,REE,62900,62900,62000,269200,62700
2026-02-04,REE,62900,63000,62000,512700,62700
2026-02-05,REE,62900,62900,62100,415900,62600
2026-02-08,REE,62400,62400,61300,645700,62100
2026-02-09,REE,62000,62100,61300,311300,61300
2026-02-12,REE,61800,62000,61500,235500,61800
2026-02-13,REE,62000,62000,61600,173900,62000
2026-02-14,REE,62000,62000,61600,173900,62000
2026-02-15,REE,62000,62000,61600,173900,62000
2026-02-23,REE,62000,62300,61800,363500,61600
2026-02-25,REE,62400,63000,62300,858100,62300
2026-02-26,REE,62600,62600,61700,344200,63000
2026-02-28,REE,62300,62300,61500,267600,62200
2026-03-04,REE,64500,66600,63000,2125500,64500
2026-03-05,REE,64800,65400,63500,717300,64500
2026-03-07,REE,63900,63900,61000,967600,63500
2026-03-08,REE,63900,63900,61000,967600,63500
2026-03-11,REE,59800,60800,59500,793300,59600
2026-03-12,REE,60100,63000,59000,1507700,60400
2026-03-14,REE,62800,64600,62600,1161100,62500
2026-03-15,REE,62800,64600,62600,1161100,62500
2026-03-18,REE,62700,64200,62000,782200,63000
2026-03-26,REE,72500,72500,70900,2072000,70900
2026-03-29,REE,71000,72500,70300,1678800,71700
2026-04-08,REE,66200,67000,65700,1457500,65200
