date,symbol,Open,High,Low,Volume,Close
2026-01-31,SAB,51000,51400,49900,1724800,50300
2026-02-01,SAB,51000,51400,49900,1724800,50300
2026-02-02,SAB,49900,50900,49200,1193500,49900
2026-02-04,SAB,52400,53300,51600,954500,52100
2026-02-04,SAB,52400,53300,51600,1558600,52100
2026-02-05,SAB,52200,52200,50000,1682000,51700
2026-02-08,SAB,49500,49800,48700,1886100,50100
2026-02-09,SAB,48900,49450,48900,519800,48750
2026-02-12,SAB,48700,49200,48500,508400,48700
2026-02-13,SAB,49000,49000,48400,758900,48800
2026-02-14,SAB,49000,49000,48400,758900,48800
2026-02-15,SAB,49000,49000,48400,758900,48800
2026-02-23,SAB,48600,49150,48600,747400,48500
2026-02-25,SAB,48800,49900,48800,1341700,48800
2026-02-26,SAB,49500,49550,48800,1107900,49200
2026-02-28,SAB,49100,49200,48350,1197000,49100
2026-03-04,SAB,46050,46500,45200,1327100,46000
2026-03-05,SAB,46150,46450,45650,768200,46000
2026-03-07,SAB,45650,46200,45550,804600,45650
2026-03-08,SAB,45650,46200,45550,804600,45650
2026-03-11,SAB,44600,45000,44050,966300,44750
2026-03-12,SAB,44650,44650,43700,824200,44800
2026-03-14,SAB,43750,44650,43650,599500,43750
2026-03-15,SAB,43750,44650,43650,599500,43750
2026-03-18,SAB,44500,44850,43900,577100,44350
2026-03-26,SAB,44650,44650,43600,472100,44750
2026-03-29,SAB,44000,44350,43750,346700,43750
2026-04-08,SAB,44950,45550,44500,901300,44050
