date,symbol,Open,High,Low,Volume,Close
2026-01-31,SBT,24000,24050,23050,721700,24000
2026-02-01,SBT,24000,24050,23050,721700,24000
2026-02-02,SBT,23900,23900,23650,474800,23900
2026-02-04,SBT,23900,23950,23700,280500,23900
2026-02-04,SBT,23900,23950,23700,432000,23900
2026-02-05,SBT,23900,23900,23700,393300,23900
2026-02-08,SBT,23900,23900,23600,398700,23900
2026-02-09,SBT,23800,23800,23650,430400,23800
2026-02-12,SBT,23550,23650,23400,587300,23600
2026-02-13,SBT,23650,23900,23550,472000,23650
2026-02-14,SBT,23650,23900,23550,472000,23650
2026-02-15,SBT,23650,23900,23550,472000,23650
2026-02-23,SBT,23900,24100,23850,603600,23900
2026-02-25,SBT,24150,24200,24000,496700,24150
2026-02-26,SBT,24200,24200,24000,551200,24200
2026-02-28,SBT,24200,24200,24000,365300,24200
2026-03-04,SBT,24100,24100,23600,579300,24100
2026-03-05,SBT,23500,23900,23500,707800,23900
2026-03-07,SBT,23500,23750,23000,729800,23850
2026-03-08,SBT,23500,23750,23000,729800,23850
2026-03-11,SBT,22550,23000,22400,706400,22550
2026-03-12,SBT,22950,22950,22650,401100,23000
2026-03-14,SBT,22850,22850,22400,480800,22850
2026-03-15,SBT,22850,22850,22400,480800,22850
2026-03-18,SBT,22200,22250,22000,457800,22350
2026-03-26,SBT,21650,21700,21450,409100,21650
2026-03-29,SBT,21700,22800,21450,742900,21700
2026-04-08,SBT,21850,21950,21700,492500,21850
