date,symbol,Open,High,Low,Volume,Close
2026-01-31,SCS,54800,55300,54500,174000,54400
2026-02-01,SCS,54800,55300,54500,174000,54400
2026-02-02,SCS,54600,54800,54000,264900,54500
2026-02-04,SCS,55100,55400,54800,152300,54900
2026-02-04,SCS,55100,55400,54700,274400,54900
2026-02-05,SCS,55800,55800,54400,227400,55200
2026-02-08,SCS,54200,54300,53400,285500,54500
2026-02-09,SCS,53700,54400,53400,175700,53600
2026-02-12,SCS,54400,54700,54300,114300,54400
2026-02-13,SCS,54300,54800,54200,116100,54300
2026-02-14,SCS,54300,54800,54200,116100,54300
2026-02-15,SCS,54300,54800,54200,116100,54300
2026-02-23,SCS,54800,56300,54700,489300,54500
2026-02-25,SCS,56700,57600,56000,581200,56500
2026-02-26,SCS,56500,56600,55500,305200,56500
2026-02-28,SCS,56100,57600,55900,488200,55900
2026-03-04,SCS,56300,56500,54400,617900,56200
2026-03-05,SCS,56000,57000,56000,322300,56000
2026-03-07,SCS,56200,56300,55100,278200,56200
2026-03-08,SCS,56200,56300,55100,278200,56200
2026-03-11,SCS,52700,53600,52700,189300,52500
2026-03-12,SCS,53600,53700,52600,209800,53600
2026-03-14,SCS,53000,53000,52300,267100,53000
2026-03-15,SCS,53000,53000,52300,267100,53000
2026-03-18,SCS,52900,53500,52500,162500,52800
2026-03-26,SCS,52800,53100,52100,199700,52900
2026-03-29,SCS,52500,54500,52500,359700,52500
2026-04-08,SCS,54600,54600,53600,166600,53100
