date,symbol,Open,High,Low,Volume,Close
2026-01-31,SHB,15900,16200,15800,53345400,15950
2026-02-01,SHB,15900,16200,15800,53345400,15950
2026-02-02,SHB,16000,16050,15700,49881000,16000
2026-02-04,SHB,15800,15850,15700,16810900,15800
2026-02-04,SHB,15800,15900,15650,47046700,15800
2026-02-05,SHB,15800,15850,15650,46304700,15800
2026-02-08,SHB,15550,15850,15350,62805800,15650
2026-02-09,SHB,15450,15450,15050,53793600,15350
2026-02-12,SHB,15500,15650,15250,37459600,15500
2026-02-13,SHB,15350,15450,15250,37753700,15350
2026-02-14,SHB,15350,15450,15250,37753700,15350
2026-02-15,SHB,15350,15450,15250,37753700,15350
2026-02-23,SHB,15550,15800,15400,54597400,15450
2026-02-25,SHB,15600,16200,15500,106131300,15550
2026-02-26,SHB,16300,16300,16000,45204400,16200
2026-02-28,SHB,16150,16150,15850,38821900,16150
2026-03-04,SHB,15450,15550,15000,87559100,15500
2026-03-05,SHB,15650,15700,15150,67258100,15500
2026-03-07,SHB,15200,15600,14950,73881300,15250
2026-03-08,SHB,15200,15600,14950,73881300,15250
2026-03-11,SHB,14550,14850,14400,52147100,14500
2026-03-12,SHB,14600,15100,14450,83295200,14750
2026-03-14,SHB,14650,14950,14600,57514000,14950
2026-03-15,SHB,14650,14950,14600,57514000,14950
2026-03-18,SHB,15050,15200,14900,46241800,15050
2026-03-26,SHB,14950,15250,14750,67867100,15000
2026-03-29,SHB,15150,15450,15050,69844300,15150
2026-04-08,SHB,15000,15350,14850,80529600,14700
