date,symbol,Open,High,Low,Volume,Close
2026-01-31,SIP,59100,61700,59100,1722900,58600
2026-02-01,SIP,59100,61700,59100,1722900,58600
2026-02-02,SIP,61500,62000,60200,584400,61000
2026-02-04,SIP,64600,67000,63300,707900,64500
2026-02-04,SIP,64600,67000,62800,1239800,64500
2026-02-05,SIP,63900,64900,62500,1009900,64000
2026-02-08,SIP,62100,62400,59800,1009500,62500
2026-02-09,SIP,60100,61000,59700,471400,60000
2026-02-12,SIP,58500,59600,58500,319900,58600
2026-02-13,SIP,59500,60300,58700,308900,59400
2026-02-14,SIP,59500,60300,58700,308900,59400
2026-02-15,SIP,59500,60300,58700,308900,59400
2026-02-23,SIP,60500,61100,60200,362300,59300
2026-02-25,SIP,62400,63800,61500,760800,62400
2026-02-26,SIP,62900,63200,62200,368300,62900
2026-02-28,SIP,63200,63200,61800,331900,63200
2026-03-04,SIP,59500,60700,57800,1127100,60000
2026-03-05,SIP,59600,60800,58000,323600,59100
2026-03-07,SIP,58700,59700,58000,2773100,58000
2026-03-08,SIP,58700,59700,58000,2773100,58000
2026-03-11,SIP,56500,58500,56200,201600,56200
2026-03-12,SIP,57400,58800,57400,260500,58000
2026-03-14,SIP,57700,58700,57600,286400,57700
2026-03-15,SIP,57700,58700,57600,286400,57700
2026-03-18,SIP,57600,58200,56900,173400,57600
2026-03-26,SIP,56800,56900,56200,119700,56800
2026-03-29,SIP,56600,58400,56400,318200,56300
2026-04-08,SIP,61400,61500,60200,374400,60400
