date,symbol,Open,High,Low,Volume,Close
2026-01-31,SJS,53200,53200,50500,81200,53600
2026-02-01,SJS,53200,53200,50500,81200,53600
2026-02-02,SJS,51500,52000,48600,103100,52000
2026-02-04,SJS,49300,50100,49300,21000,51600
2026-02-04,SJS,49300,51000,49300,35500,51600
2026-02-05,SJS,50000,50500,49300,28000,50000
2026-02-08,SJS,49100,49900,49000,16400,50400
2026-02-09,SJS,49900,49900,48650,16300,49900
2026-02-12,SJS,48700,48700,48000,17100,48600
2026-02-13,SJS,48500,49500,47950,43700,48700
2026-02-14,SJS,48500,49500,47950,43700,48700
2026-02-15,SJS,48500,49500,47950,43700,48700
2026-02-23,SJS,50000,52000,49000,70000,49500
2026-02-25,SJS,52000,52000,50100,32300,52000
2026-02-26,SJS,51000,52000,50100,15700,51800
2026-02-28,SJS,50500,51700,49700,88500,51800
2026-03-04,SJS,50500,51800,50000,78400,51700
2026-03-05,SJS,51800,51800,50800,37600,51800
2026-03-07,SJS,50600,51000,50000,65700,51700
2026-03-08,SJS,50600,51000,50000,65700,51700
2026-03-11,SJS,49800,49800,47000,14900,48000
2026-03-12,SJS,48850,48850,47800,4500,48950
2026-03-14,SJS,49300,49500,48500,3900,47800
2026-03-15,SJS,49300,49500,48500,3900,47800
2026-03-18,SJS,49000,49600,49000,25100,49000
2026-03-26,SJS,48600,49200,48600,32200,48600
2026-03-29,SJS,49500,50000,49200,11900,49000
2026-04-08,SJS,49400,49500,49200,19600,49000
