date,symbol,Open,High,Low,Volume,Close
2026-01-31,SSB,17400,17500,17150,2376700,17450
2026-02-01,SSB,17400,17500,17150,2376700,17450
2026-02-02,SSB,17050,17150,16750,2938100,17150
2026-02-04,SSB,17000,17000,16850,802900,17000
2026-02-04,SSB,17000,17000,16850,2104600,17000
2026-02-05,SSB,16950,17000,16800,2233600,17000
2026-02-08,SSB,16800,16800,16550,2245700,16800
2026-02-09,SSB,16700,16800,16550,2211700,16800
2026-02-12,SSB,17000,17000,16650,2132500,17000
2026-02-13,SSB,16900,17000,16750,2280700,16950
2026-02-14,SSB,16900,17000,16750,2280700,16950
2026-02-15,SSB,16900,17000,16750,2280700,16950
2026-02-23,SSB,17150,17150,16950,1608100,17000
2026-02-25,SSB,16900,17000,16800,2121400,17000
2026-02-26,SSB,16950,17000,16750,2113700,16950
2026-02-28,SSB,16950,17000,16750,1992800,17000
2026-03-04,SSB,16550,16800,16400,2359000,16750
2026-03-05,SSB,16600,17000,16500,2783600,16800
2026-03-07,SSB,16950,17000,16650,2315400,17000
2026-03-08,SSB,16950,17000,16650,2315400,17000
2026-03-11,SSB,16300,16650,16250,1996100,16500
2026-03-12,SSB,16350,16550,16300,2119000,16600
2026-03-14,SSB,16500,16550,16350,1559000,16550
2026-03-15,SSB,16500,16550,16350,1559000,16550
2026-03-18,SSB,16700,16800,16600,1828900,16650
2026-03-26,SSB,16750,16750,16600,2022600,16750
2026-03-29,SSB,16700,16900,16650,1878400,16750
2026-04-08,SSB,17000,17000,16850,1785200,16800
