date,symbol,Open,High,Low,Volume,Close
2026-01-31,SSI,31200,31600,31100,18979800,31150
2026-02-01,SSI,31200,31600,31100,18979800,31150
2026-02-02,SSI,31150,31150,30600,20335700,31150
2026-02-04,SSI,31400,32500,31350,22302300,30900
2026-02-04,SSI,31400,32500,31350,32382800,30900
2026-02-05,SSI,31700,31900,31000,15197700,31550
2026-02-08,SSI,30700,31000,29900,37356200,31000
2026-02-09,SSI,30250,30350,29600,14650200,29900
2026-02-12,SSI,31250,31500,31050,11764300,31200
2026-02-13,SSI,31100,31550,30900,19533500,31250
2026-02-14,SSI,31100,31550,30900,19533500,31250
2026-02-15,SSI,31100,31550,30900,19533500,31250
2026-02-23,SSI,31600,31850,31300,16669300,31400
2026-02-25,SSI,32000,32700,31800,42664700,32100
2026-02-26,SSI,32300,32700,32000,30429600,32150
2026-02-28,SSI,32500,32950,32100,37296900,32400
2026-03-04,SSI,32550,33700,31500,92511300,32600
2026-03-05,SSI,34300,35000,33500,83987900,33700
2026-03-07,SSI,33100,33200,31500,70603700,33500
2026-03-08,SSI,33100,33200,31500,70603700,33500
2026-03-11,SSI,29800,30800,29400,39065300,29650
2026-03-12,SSI,29700,30100,28900,44112200,30250
2026-03-14,SSI,28750,29200,28200,54940600,29150
2026-03-15,SSI,28750,29200,28200,54940600,29150
2026-03-18,SSI,28800,28900,27700,42490600,28650
2026-03-26,SSI,26850,26850,26350,23402600,26850
2026-03-29,SSI,26350,27200,26350,23305300,26350
2026-04-08,SSI,28700,29400,28500,65778300,27500
