date,symbol,Open,High,Low,Volume,Close
2026-01-31,STB,62800,65000,62700,9372100,62800
2026-02-01,STB,62800,65000,62700,9372100,62800
2026-02-02,STB,63000,64000,62000,12216000,63000
2026-02-04,STB,62800,63800,62600,3115900,63000
2026-02-04,STB,62800,64600,62600,11683400,63000
2026-02-05,STB,63800,65000,62300,10907100,63800
2026-02-08,STB,61800,62400,60800,14979600,62300
2026-02-09,STB,61600,62100,60300,5613100,61500
2026-02-12,STB,61200,62700,61100,4636600,61100
2026-02-13,STB,61200,62600,61100,8998200,61100
2026-02-14,STB,61200,62600,61100,8998200,61100
2026-02-15,STB,61200,62600,61100,8998200,61100
2026-02-23,STB,62500,63700,62500,5818900,62600
2026-02-25,STB,63400,67800,63400,20065800,63400
2026-02-26,STB,66800,67300,65600,8140000,66700
2026-02-28,STB,66900,67200,65500,7079500,67000
2026-03-04,STB,67600,68100,65300,15992100,67800
2026-03-05,STB,67600,68700,64900,11705000,66700
2026-03-07,STB,64900,65400,62600,9695500,64900
2026-03-08,STB,64900,65400,62600,9695500,64900
2026-03-11,STB,65100,67400,64500,9254700,65000
2026-03-12,STB,65600,67100,65100,6081700,66300
2026-03-14,STB,65000,67000,64900,6921900,65700
2026-03-15,STB,65000,67000,64900,6921900,65700
2026-03-18,STB,67700,68800,62900,33645200,67600
2026-03-26,STB,62000,62100,60300,5034300,62200
2026-03-29,STB,60500,60700,59700,9368300,60600
2026-04-08,STB,63500,66000,63100,9822700,61700
