date,symbol,Open,High,Low,Volume,Close
2026-01-31,SZC,31500,32800,31500,1475400,31300
2026-02-01,SZC,31500,32800,31500,1475400,31300
2026-02-02,SZC,32800,32900,32100,893700,32200
2026-02-04,SZC,35750,37000,35300,3514500,35050
2026-02-04,SZC,35750,37400,35300,5555100,35050
2026-02-05,SZC,36650,37350,36150,2582800,36850
2026-02-08,SZC,36200,36650,35000,3483400,36900
2026-02-09,SZC,34900,35300,34000,1160400,35050
2026-02-12,SZC,34100,34100,33750,619100,33950
2026-02-13,SZC,33750,34350,33600,1010800,33850
2026-02-14,SZC,33750,34350,33600,1010800,33850
2026-02-15,SZC,33750,34350,33600,1010800,33850
2026-02-23,SZC,34400,35100,34300,1024200,33850
2026-02-25,SZC,34300,36150,34300,2371900,34300
2026-02-26,SZC,36000,36000,34700,937400,35650
2026-02-28,SZC,35000,35100,34000,1055000,34700
2026-03-04,SZC,33000,33400,31200,2117800,33300
2026-03-05,SZC,32400,32700,31500,915600,32150
2026-03-07,SZC,31250,31550,30400,1165200,31500
2026-03-08,SZC,31250,31550,30400,1165200,31500
2026-03-11,SZC,28950,30200,28700,770000,28500
2026-03-12,SZC,30100,30500,29300,713600,30200
2026-03-14,SZC,29400,30200,29400,571400,29800
2026-03-15,SZC,29400,30200,29400,571400,29800
2026-03-18,SZC,29650,29850,29000,413400,29600
2026-03-26,SZC,28850,28850,28000,495800,28500
2026-03-29,SZC,28250,29650,28200,1197900,28300
2026-04-08,SZC,29000,29000,28150,982700,27650
