date,symbol,Open,High,Low,Volume,Close
2026-01-31,TCB,34850,35900,34800,11603200,34900
2026-02-01,TCB,34850,35900,34800,11603200,34900
2026-02-02,TCB,35300,35750,34750,9657500,35900
2026-02-04,TCB,34700,34900,34350,5698300,34700
2026-02-04,TCB,34700,34900,34350,11708700,34700
2026-02-05,TCB,34950,35100,34750,10700200,34550
2026-02-08,TCB,34500,34600,34100,12492400,34850
2026-02-09,TCB,35000,35000,34500,7754700,34600
2026-02-12,TCB,35400,35750,35200,7542700,35300
2026-02-13,TCB,35200,35500,35200,6059700,35450
2026-02-14,TCB,35200,35500,35200,6059700,35450
2026-02-15,TCB,35200,35500,35200,6059700,35450
2026-02-23,TCB,35500,35900,35450,9141000,35450
2026-02-25,TCB,35800,36450,35700,12384800,35800
2026-02-26,TCB,36100,36450,36000,9305800,36000
2026-02-28,TCB,36050,36400,35850,7958700,36450
2026-03-04,TCB,33500,33700,31800,30866600,33600
2026-03-05,TCB,33000,33100,32200,15754300,32500
2026-03-07,TCB,32100,32100,31350,14743000,32200
2026-03-08,TCB,32100,32100,31350,14743000,32200
2026-03-11,TCB,30050,31350,29950,12998900,30300
2026-03-12,TCB,30550,31000,29900,18068400,31100
2026-03-14,TCB,30000,30300,29650,9833600,30000
2026-03-15,TCB,30000,30300,29650,9833600,30000
2026-03-18,TCB,30500,30800,30150,6834600,30300
2026-03-26,TCB,30700,30700,30150,7432100,30800
2026-03-29,TCB,30150,30700,30050,7624800,30150
2026-04-08,TCB,29750,30700,29500,18128900,28700
