date,symbol,Open,High,Low,Volume,Close
2026-01-31,TCH,15500,15700,15150,7576700,15450
2026-02-01,TCH,15500,15700,15150,7576700,15450
2026-02-02,TCH,15450,15500,14900,7648600,15700
2026-02-04,TCH,15350,15450,15200,1724400,15500
2026-02-04,TCH,15350,15550,15200,4845800,15500
2026-02-05,TCH,15550,15650,15300,4279100,15400
2026-02-08,TCH,15300,15300,14700,5329800,15400
2026-02-09,TCH,14800,15000,14450,3088500,14700
2026-02-12,TCH,16300,16700,15850,7090600,16100
2026-02-13,TCH,16400,16650,16100,6540200,16550
2026-02-14,TCH,16400,16650,16100,6540200,16550
2026-02-15,TCH,16400,16650,16100,6540200,16550
2026-02-23,TCH,16650,16700,16200,5432900,16650
2026-02-25,TCH,16400,16500,15900,8097600,16550
2026-02-26,TCH,15950,16000,15500,5920300,15900
2026-02-28,TCH,15900,15900,15200,8753700,15800
2026-03-04,TCH,14300,14500,13450,9873200,14400
2026-03-05,TCH,14200,14400,13900,4846400,13950
2026-03-07,TCH,14200,14200,13700,4739000,13950
2026-03-08,TCH,14200,14200,13700,4739000,13950
2026-03-11,TCH,13900,14650,13800,10558700,13700
2026-03-12,TCH,14650,14850,14250,5965100,14650
2026-03-14,TCH,14300,15250,14300,13619400,14600
2026-03-15,TCH,14300,15250,14300,13619400,14600
2026-03-18,TCH,14400,14700,14250,3640300,14500
2026-03-26,TCH,16500,16500,15850,12286900,16500
2026-03-29,TCH,15850,16850,15850,15421600,15900
2026-04-08,TCH,16950,17250,16450,14833000,16150
