date,symbol,Open,High,Low,Volume,Close
2026-01-31,TPB,16800,17200,16650,6437600,16700
2026-02-01,TPB,16800,17200,16650,6437600,16700
2026-02-02,TPB,17200,17350,17000,7436300,17200
2026-02-04,TPB,17150,17300,17100,2986300,17150
2026-02-04,TPB,17150,17450,17100,8474000,17150
2026-02-05,TPB,17400,17550,17100,5380800,17400
2026-02-08,TPB,17050,17100,16750,8877300,17100
2026-02-09,TPB,16900,17000,16750,4925200,16800
2026-02-12,TPB,17450,17500,17150,4649600,17350
2026-02-13,TPB,17150,17500,17100,5366800,17150
2026-02-14,TPB,17150,17500,17100,5366800,17150
2026-02-15,TPB,17150,17500,17100,5366800,17150
2026-02-23,TPB,17600,18050,17400,34774400,17500
2026-02-25,TPB,18250,18700,18050,50381300,18050
2026-02-26,TPB,18800,18800,18150,20461500,18650
2026-02-28,TPB,18450,18700,18250,17459800,18350
2026-03-04,TPB,17550,17800,16600,30118900,17600
2026-03-05,TPB,17500,17700,17050,18616900,17300
2026-03-07,TPB,17000,17250,16850,14312800,17050
2026-03-08,TPB,17000,17250,16850,14312800,17050
2026-03-11,TPB,16050,16700,16000,21018900,16000
2026-03-12,TPB,16200,16450,15950,13103500,16450
2026-03-14,TPB,16100,16200,15850,11262700,16050
2026-03-15,TPB,16100,16200,15850,11262700,16050
2026-03-18,TPB,16200,16350,15900,8612200,16100
2026-03-26,TPB,16150,16150,15900,6802600,16150
2026-03-29,TPB,15900,16300,15900,9247800,15900
2026-04-08,TPB,16200,16600,16150,17311600,15750
