date,symbol,Open,High,Low,Volume,Close
2026-01-31,VCB,70600,71900,69600,11480700,69800
2026-02-01,VCB,70600,71900,69600,11480700,69800
2026-02-02,VCB,70500,71500,69300,10711000,70500
2026-02-04,VCB,72000,72000,70700,4585100,71800
2026-02-04,VCB,72000,72000,70500,8726700,71800
2026-02-05,VCB,70700,70800,68400,11688700,70800
2026-02-08,VCB,67900,67900,64900,24570400,68400
2026-02-09,VCB,65500,66000,64200,7308900,65100
2026-02-12,VCB,65500,65500,64200,7950400,64700
2026-02-13,VCB,64700,65100,64000,4951400,64200
2026-02-14,VCB,64700,65100,64000,4951400,64200
2026-02-15,VCB,64700,65100,64000,4951400,64200
2026-02-23,VCB,65000,66700,64600,10104200,64400
2026-02-25,VCB,65000,66500,64700,9488800,65000
2026-02-26,VCB,65200,65900,65000,7561900,65100
2026-02-28,VCB,65500,66400,64800,8831200,65400
2026-03-04,VCB,61800,63200,61700,10259500,61600
2026-03-05,VCB,63700,63700,62500,6037000,63000
2026-03-07,VCB,62000,63200,61600,8854200,62500
2026-03-08,VCB,62000,63200,61600,8854200,62500
2026-03-11,VCB,60500,61200,60000,8789200,60400
2026-03-12,VCB,60200,60300,59500,6217000,60400
2026-03-14,VCB,59200,60100,58900,5656900,59800
2026-03-15,VCB,59200,60100,58900,5656900,59800
2026-03-18,VCB,60900,62000,60000,8225000,60500
2026-03-26,VCB,58500,58600,57500,6217800,58400
2026-03-29,VCB,58000,59000,57900,6135900,57900
2026-04-08,VCB,59200,60300,58800,13743100,58000
