date,symbol,Open,High,Low,Volume,Close
2026-01-31,VCG,18950,19450,18850,7761900,19000
2026-02-01,VCG,18950,19450,18850,7761900,19000
2026-02-02,VCG,19250,19650,19050,7930700,19150
2026-02-04,VCG,19200,19450,18550,6540100,19200
2026-02-04,VCG,19200,19450,18550,8880200,19200
2026-02-05,VCG,19250,19250,18900,4663100,19200
2026-02-08,VCG,18600,18750,18150,8287600,18900
2026-02-09,VCG,18400,18500,18100,3708100,18200
2026-02-12,VCG,18450,19100,18450,5339100,18450
2026-02-13,VCG,18900,18950,18650,2670900,18800
2026-02-14,VCG,18900,18950,18650,2670900,18800
2026-02-15,VCG,18900,18950,18650,2670900,18800
2026-02-23,VCG,19100,19400,18950,5236300,18900
2026-02-25,VCG,19400,19950,19350,9647600,19200
2026-02-26,VCG,19500,19550,19150,6064100,19650
2026-02-28,VCG,19250,19250,19100,4941400,19300
2026-03-04,VCG,18950,19200,18600,9238000,18950
2026-03-05,VCG,19300,20400,19250,13433300,19150
2026-03-07,VCG,19750,20650,19450,11758500,19700
2026-03-08,VCG,19750,20650,19450,11758500,19700
2026-03-11,VCG,20800,21300,20600,6669000,19950
2026-03-12,VCG,22750,22750,22000,42813300,21300
2026-03-14,VCG,22600,24000,22200,22372900,22750
2026-03-15,VCG,22600,24000,22200,22372900,22750
2026-03-18,VCG,22450,23100,21700,19603100,22700
2026-03-26,VCG,22000,22600,21750,9263100,21950
2026-03-29,VCG,21750,22200,21650,9222600,21750
2026-04-08,VCG,22700,22700,22000,11834000,21350
