date,symbol,Open,High,Low,Volume,Close
2026-01-31,VCI,36150,36650,36000,9459900,36150
2026-02-01,VCI,36150,36650,36000,9459900,36150
2026-02-02,VCI,36500,36500,35400,13525700,36650
2026-02-04,VCI,36850,37650,36850,10864200,36300
2026-02-04,VCI,36850,37650,36750,15591900,36300
2026-02-05,VCI,36750,36850,36100,7685400,36750
2026-02-08,VCI,35800,36000,34250,14180300,36100
2026-02-09,VCI,34850,34850,34150,4853800,34250
2026-02-12,VCI,35550,36300,35500,5971500,35550
2026-02-13,VCI,35800,36500,35800,5806100,35900
2026-02-14,VCI,35800,36500,35800,5806100,35900
2026-02-15,VCI,35800,36500,35800,5806100,35900
2026-02-23,VCI,37000,37100,36650,7835300,36500
2026-02-25,VCI,37150,37200,36500,9208900,37000
2026-02-26,VCI,36550,37250,36250,8548700,36500
2026-02-28,VCI,37150,38800,37050,22486400,37150
2026-03-04,VCI,38200,40850,37950,33928700,38200
2026-03-05,VCI,41950,42400,40500,20145700,40850
2026-03-07,VCI,40000,40450,38000,25516300,40500
2026-03-08,VCI,40000,40450,38000,25516300,40500
2026-03-11,VCI,35700,38000,35450,14451000,35700
2026-03-12,VCI,36700,37150,35650,12441500,37200
2026-03-14,VCI,35950,37650,35300,14180900,36600
2026-03-15,VCI,35950,37650,35300,14180900,36600
2026-03-18,VCI,37400,37450,35550,16462500,37250
2026-03-26,VCI,26200,26550,26000,10722500,35000
2026-03-29,VCI,26300,26900,26200,8167000,26400
2026-04-08,VCI,28750,29000,27850,20082500,27200
