date,symbol,Open,High,Low,Volume,Close
2026-01-31,VGC,47050,50100,47050,4140800,46900
2026-02-01,VGC,47050,50100,47050,4140800,46900
2026-02-02,VGC,52000,52500,51000,2589000,50100
2026-02-04,VGC,56500,58600,56000,1692700,56100
2026-02-04,VGC,56500,58600,56000,2883800,56100
2026-02-05,VGC,56600,58100,56100,2469200,57900
2026-02-08,VGC,55500,56500,53000,3573500,56900
2026-02-09,VGC,53000,53000,50000,1930600,53000
2026-02-12,VGC,49000,49300,48300,858300,48200
2026-02-13,VGC,48350,50800,48300,1494900,48350
2026-02-14,VGC,48350,50800,48300,1494900,48350
2026-02-15,VGC,48350,50800,48300,1494900,48350
2026-02-23,VGC,51500,52400,50800,1476700,50300
2026-02-25,VGC,51100,53800,51100,2097500,50900
2026-02-26,VGC,52400,52400,51000,984800,52300
2026-02-28,VGC,51700,52700,50900,1288000,51700
2026-03-04,VGC,48300,49850,46500,2323900,49850
2026-03-05,VGC,48000,48950,47300,985400,47050
2026-03-07,VGC,47350,47500,46000,1136300,47300
2026-03-08,VGC,47350,47500,46000,1136300,47300
2026-03-11,VGC,43500,45950,43400,706000,43300
2026-03-12,VGC,46000,46700,45050,863000,45900
2026-03-14,VGC,44650,46400,44100,707600,45800
2026-03-15,VGC,44650,46400,44100,707600,45800
2026-03-18,VGC,46700,47350,43400,579800,46650
2026-03-26,VGC,45150,45800,44700,711600,45500
2026-03-29,VGC,44700,46000,44650,919200,44700
2026-04-08,VGC,45550,46550,44700,1568000,44500
