date,symbol,Open,High,Low,Volume,Close
2026-01-31,VHC,64700,65600,64300,1548000,65000
2026-02-01,VHC,64700,65600,64300,1548000,65000
2026-02-02,VHC,64300,69200,64100,5180500,64700
2026-02-04,VHC,68200,69800,68200,1119800,68200
2026-02-04,VHC,68200,69800,68000,2290000,68200
2026-02-05,VHC,68800,68800,63500,4180400,68200
2026-02-08,VHC,61600,62900,60000,2640600,63500
2026-02-09,VHC,60500,60600,58600,1393900,60000
2026-02-12,VHC,60000,60600,59600,906200,60000
2026-02-13,VHC,60100,60400,59700,976600,60100
2026-02-14,VHC,60100,60400,59700,976600,60100
2026-02-15,VHC,60100,60400,59700,976600,60100
2026-02-23,VHC,62900,62900,61000,1468700,60100
2026-02-25,VHC,61900,63800,61900,1064700,61700
2026-02-26,VHC,63100,63100,61800,908400,62700
2026-02-28,VHC,62500,62500,61400,1207400,62600
2026-03-04,VHC,62400,62600,59900,2546100,62800
2026-03-05,VHC,62200,62600,59300,2286200,62000
2026-03-07,VHC,59800,60700,57800,1534700,60700
2026-03-08,VHC,59800,60700,57800,1534700,60700
2026-03-11,VHC,57200,59400,57100,1166500,57000
2026-03-12,VHC,57700,59200,57700,696200,59000
2026-03-14,VHC,59000,61200,58800,1651900,58700
2026-03-15,VHC,59000,61200,58800,1651900,58700
2026-03-18,VHC,60600,60900,59400,510800,61000
2026-03-26,VHC,58400,59300,57800,511200,58500
2026-03-29,VHC,58300,59300,58300,670700,59300
2026-04-08,VHC,59500,59600,58700,956400,58700
