date,symbol,Open,High,Low,Volume,Close
2026-01-31,VHM,107000,107400,104000,4714200,107000
2026-02-01,VHM,107000,107400,104000,4714200,107000
2026-02-02,VHM,107100,107300,98600,9144500,106000
2026-02-04,VHM,97500,98000,91000,6310400,97300
2026-02-04,VHM,97500,98000,90800,13582800,97300
2026-02-05,VHM,91200,97600,91200,9429200,91300
2026-02-08,VHM,97600,101800,95100,8492200,97600
2026-02-09,VHM,97900,97900,93100,4463200,97500
2026-02-12,VHM,103600,109300,102100,6584900,103000
2026-02-13,VHM,109700,109800,105300,6244700,109000
2026-02-14,VHM,109700,109800,105300,6244700,109000
2026-02-15,VHM,109700,109800,105300,6244700,109000
2026-02-23,VHM,109100,111400,108000,3679400,109000
2026-02-25,VHM,110600,110600,106400,5547800,111000
2026-02-26,VHM,106000,112900,105600,6157600,107000
2026-02-28,VHM,108000,109500,104600,4915000,107600
2026-03-04,VHM,91400,94900,87000,12722700,93500
2026-03-05,VHM,95400,99000,93300,8978700,93500
2026-03-07,VHM,95000,96500,93000,6979200,95000
2026-03-08,VHM,95000,96500,93000,6979200,95000
2026-03-11,VHM,89200,95900,89200,6734300,89800
2026-03-12,VHM,93700,95900,93500,4137400,95900
2026-03-14,VHM,94500,98000,93900,3989100,95900
2026-03-15,VHM,94500,98000,93900,3989100,95900
2026-03-18,VHM,102200,105500,101500,4511300,102000
2026-03-26,VHM,104300,104300,101100,2742600,104200
2026-03-29,VHM,102000,103500,100200,2547500,101100
2026-04-08,VHM,117900,123000,117600,5534000,115000
