date,symbol,Open,High,Low,Volume,Close
2026-01-31,VIB,17500,17800,17450,6710600,17500
2026-02-01,VIB,17500,17800,17450,6710600,17500
2026-02-02,VIB,17700,17700,17400,5277000,17800
2026-02-04,VIB,17450,17500,17350,1979100,17450
2026-02-04,VIB,17450,17500,17300,5060900,17450
2026-02-05,VIB,17450,17500,17150,3831400,17400
2026-02-08,VIB,17100,17150,16700,8313900,17150
2026-02-09,VIB,16900,17000,16700,4919800,16700
2026-02-12,VIB,17100,17150,16950,3196300,16950
2026-02-13,VIB,17100,17400,17050,6435200,17100
2026-02-14,VIB,17100,17400,17050,6435200,17100
2026-02-15,VIB,17100,17400,17050,6435200,17100
2026-02-23,VIB,17350,17500,17300,3091100,17250
2026-02-25,VIB,17400,17600,17200,7253200,17300
2026-02-26,VIB,17400,17600,17350,3401000,17400
2026-02-28,VIB,17400,17450,17300,2778500,17400
2026-03-04,VIB,16700,16850,16450,6618900,16700
2026-03-05,VIB,17000,17050,16800,4074200,16850
2026-03-07,VIB,16850,16900,16700,2831000,16850
2026-03-08,VIB,16850,16900,16700,2831000,16850
2026-03-11,VIB,16250,17200,16200,11598900,16100
2026-03-12,VIB,17000,17000,16600,3945300,17050
2026-03-14,VIB,16650,17000,16550,4482400,16650
2026-03-15,VIB,16650,17000,16550,4482400,16650
2026-03-18,VIB,17200,17250,16850,4526100,17000
2026-03-26,VIB,17250,17250,16900,3021400,17250
2026-03-29,VIB,16850,17200,16850,6298900,16950
2026-04-08,VIB,17050,17450,16900,11248400,16700
