date,symbol,Open,High,Low,Volume,Close
2026-01-31,VIC,140500,141900,135900,6881400,140500
2026-02-01,VIC,140500,141900,135900,6881400,140500
2026-02-02,VIC,138500,140000,130700,10401600,140500
2026-02-04,VIC,129600,129800,121600,5076200,130700
2026-02-04,VIC,129600,129800,121600,11704000,130700
2026-02-05,VIC,119000,130100,118900,7413900,121600
2026-02-08,VIC,130100,137300,128000,7311200,130100
2026-02-09,VIC,132800,133300,129500,2803700,131000
2026-02-12,VIC,154800,160800,152000,4346600,150800
2026-02-13,VIC,161900,164100,152000,5436200,159000
2026-02-14,VIC,161900,164100,152000,5436200,159000
2026-02-15,VIC,161900,164100,152000,5436200,159000
2026-02-23,VIC,160000,166800,159200,3711300,160000
2026-02-25,VIC,160000,162000,155000,5289800,162900
2026-02-26,VIC,157000,169000,157000,6775200,158000
2026-02-28,VIC,169100,178500,168000,3624400,168900
2026-03-04,VIC,150600,161000,150600,4387500,155500
2026-03-05,VIC,159000,166400,157200,5615500,155600
2026-03-07,VIC,163500,165000,156000,2975400,164800
2026-03-08,VIC,163500,165000,156000,2975400,164800
2026-03-11,VIC,143000,148500,143000,2974500,141800
2026-03-12,VIC,144800,149700,142900,3036100,146000
2026-03-14,VIC,143900,148000,141200,2665200,145000
2026-03-15,VIC,143900,148000,141200,2665200,145000
2026-03-18,VIC,148300,156000,146000,4966200,146200
2026-03-26,VIC,129900,130900,125900,2435600,128700
2026-03-29,VIC,130500,133900,128600,2124700,130000
2026-04-08,VIC,150000,153400,147100,4034100,143400
