date,symbol,Open,High,Low,Volume,Close
2026-01-31,VIX,22150,22700,21650,29034300,22000
2026-02-01,VIX,22150,22700,21650,29034300,22000
2026-02-02,VIX,22650,22650,21550,36799000,22600
2026-02-04,VIX,22950,23450,22650,19472100,22700
2026-02-04,VIX,22950,23450,22600,29567100,22700
2026-02-05,VIX,22800,22800,22100,20586500,22600
2026-02-08,VIX,22100,22150,21200,38422700,22200
2026-02-09,VIX,21550,21650,20850,20836400,21200
2026-02-12,VIX,22400,22400,21700,15658100,22200
2026-02-13,VIX,21900,22900,21650,32444100,21900
2026-02-14,VIX,21900,22900,21650,32444100,21900
2026-02-15,VIX,21900,22900,21650,32444100,21900
2026-02-23,VIX,22600,22900,21600,49055300,22550
2026-02-25,VIX,23550,23600,22800,36493600,23200
2026-02-26,VIX,22900,23150,22500,30662100,22850
2026-02-28,VIX,22700,23100,22200,31571200,22650
2026-03-04,VIX,21650,22100,20500,51144500,21800
2026-03-05,VIX,21500,22100,20500,88908600,21100
2026-03-07,VIX,18450,18450,17600,41810600,20500
2026-03-08,VIX,18450,18450,17600,41810600,20500
2026-03-11,VIX,15900,17100,15850,37447500,16000
2026-03-12,VIX,17000,17700,16750,29465100,17100
2026-03-14,VIX,16800,17100,16300,25616700,16800
2026-03-15,VIX,16800,17100,16300,25616700,16800
2026-03-18,VIX,17150,17250,16400,22757000,16900
2026-03-26,VIX,16200,16300,15900,17744800,16200
2026-03-29,VIX,16050,16850,16000,38991900,16000
2026-04-08,VIX,18000,18100,17600,75304700,16950
