date,symbol,Open,High,Low,Volume,Close
2026-01-31,VJC,164300,170500,159400,1696000,164000
2026-02-01,VJC,164300,170500,159400,1696000,164000
2026-02-02,VJC,170700,171700,160300,1498600,170500
2026-02-04,VJC,166000,167000,161200,762300,168000
2026-02-04,VJC,166000,167000,161200,1312300,168000
2026-02-05,VJC,164000,170000,162200,1515400,165000
2026-02-08,VJC,165000,166100,161400,1268400,166500
2026-02-09,VJC,166000,168500,164500,1042500,166000
2026-02-12,VJC,168000,170000,165700,1078600,168000
2026-02-13,VJC,168000,169500,165500,1247500,168000
2026-02-14,VJC,168000,169500,165500,1247500,168000
2026-02-15,VJC,168000,169500,165500,1247500,168000
2026-02-23,VJC,169500,175000,169200,1266800,169200
2026-02-25,VJC,180200,183500,177000,1183500,186600
2026-02-26,VJC,177500,179100,173700,1174800,178500
2026-02-28,VJC,177800,178500,175200,1133900,178500
2026-03-04,VJC,163600,166000,155800,1467800,164100
2026-03-05,VJC,163300,163700,156000,1566900,163200
2026-03-07,VJC,156000,158500,152200,1238100,156400
2026-03-08,VJC,156000,158500,152200,1238100,156400
2026-03-11,VJC,157000,160000,152800,1433700,155000
2026-03-12,VJC,155000,157900,152800,1393200,159700
2026-03-14,VJC,152600,157000,152600,1257300,152800
2026-03-15,VJC,152600,157000,152600,1257300,152800
2026-03-18,VJC,156200,160000,155200,1285600,157000
2026-03-26,VJC,153000,155000,150900,1165100,153000
2026-03-29,VJC,155000,157500,153300,1004300,155000
2026-04-08,VJC,166000,169500,164700,1266500,163500
