date,symbol,Open,High,Low,Volume,Close
2026-01-31,VND,18450,18700,18400,10447600,18450
2026-02-01,VND,18450,18700,18400,10447600,18450
2026-02-02,VND,18500,18500,18000,13233700,18500
2026-02-04,VND,18800,19150,18500,8338900,18500
2026-02-04,VND,18800,19150,18500,11490300,18500
2026-02-05,VND,18600,18700,18200,6963300,18550
2026-02-08,VND,18100,18150,17650,14092000,18200
2026-02-09,VND,17950,18000,17650,5759200,17650
2026-02-12,VND,18450,18500,18300,3246200,18400
2026-02-13,VND,18250,18700,18150,7090800,18300
2026-02-14,VND,18250,18700,18150,7090800,18300
2026-02-15,VND,18250,18700,18150,7090800,18300
2026-02-23,VND,18750,18850,18600,7314500,18600
2026-02-25,VND,19100,19200,18850,8705600,19000
2026-02-26,VND,19050,19100,18650,5989000,18900
2026-02-28,VND,18900,19200,18700,9077200,18800
2026-03-04,VND,18450,18800,17500,19568400,18350
2026-03-05,VND,19050,19900,18900,31279500,18800
2026-03-07,VND,18900,18900,18050,13557300,18900
2026-03-08,VND,18900,18900,18050,13557300,18900
2026-03-11,VND,16600,17300,16550,12652800,16550
2026-03-12,VND,16850,17050,16500,10043900,16900
2026-03-14,VND,16350,16700,16200,11781200,16550
2026-03-15,VND,16350,16700,16200,11781200,16550
2026-03-18,VND,16500,16600,16000,8675400,16450
2026-03-26,VND,15550,15650,15250,8430400,15500
2026-03-29,VND,15500,15950,15450,12891700,15500
2026-04-08,VND,17000,17150,16600,27424100,16050
