date,symbol,Open,High,Low,Volume,Close
2026-01-31,VNM,71500,72500,70500,7844800,71100
2026-02-01,VNM,71500,72500,70500,7844800,71100
2026-02-02,VNM,70900,72600,70300,10777700,70600
2026-02-04,VNM,71800,72600,70800,4533600,71600
2026-02-04,VNM,71800,72600,70800,7672500,71600
2026-02-05,VNM,71900,72200,69100,8057000,72000
2026-02-08,VNM,68300,70700,68200,6695900,69100
2026-02-09,VNM,69400,70400,69300,2573300,69100
2026-02-12,VNM,69300,69800,69000,1951100,69100
2026-02-13,VNM,69000,69800,68600,3341400,69000
2026-02-14,VNM,69000,69800,68600,3341400,69000
2026-02-15,VNM,69000,69800,68600,3341400,69000
2026-02-23,VNM,70000,71300,69800,4211800,69500
2026-02-25,VNM,70400,73400,70400,9804200,70200
2026-02-26,VNM,71200,71400,69600,14298200,72300
2026-02-28,VNM,70200,70600,68000,13371400,70600
2026-03-04,VNM,63400,64900,62000,13382500,63400
2026-03-05,VNM,65000,65200,63000,8165700,64900
2026-03-07,VNM,63000,63000,62200,6471800,63200
2026-03-08,VNM,63000,63000,62200,6471800,63200
2026-03-11,VNM,61700,63700,61600,7507500,62100
2026-03-12,VNM,62000,62700,61300,6298800,63000
2026-03-14,VNM,62000,63200,61600,5388500,61600
2026-03-15,VNM,62000,63200,61600,5388500,61600
2026-03-18,VNM,61800,62700,61600,2596400,61500
2026-03-26,VNM,62100,62100,61000,2044000,62100
2026-03-29,VNM,61000,61900,60900,2137400,61000
2026-04-08,VNM,62200,62700,61700,5568500,61000
