date,symbol,Open,High,Low,Volume,Close
2026-01-31,VPB,27750,28000,27550,15839700,27650
2026-02-01,VPB,27750,28000,27550,15839700,27650
2026-02-02,VPB,27850,28000,27250,14154800,28000
2026-02-04,VPB,27500,27700,27250,9298500,27500
2026-02-04,VPB,27500,27800,27250,16720100,27500
2026-02-05,VPB,28000,28050,27400,9669100,27750
2026-02-08,VPB,27200,27250,26800,18137700,27400
2026-02-09,VPB,27000,27150,26650,8770500,26800
2026-02-12,VPB,28350,28500,28150,8140700,28300
2026-02-13,VPB,28100,28300,27900,12905500,28250
2026-02-14,VPB,28100,28300,27900,12905500,28250
2026-02-15,VPB,28100,28300,27900,12905500,28250
2026-02-23,VPB,28450,29150,28300,15465000,28300
2026-02-25,VPB,29000,29500,28800,20144800,29000
2026-02-26,VPB,29000,29200,28850,13933100,28850
2026-02-28,VPB,29050,29450,28750,18002900,28900
2026-03-04,VPB,27350,27650,26500,26580500,27450
2026-03-05,VPB,27450,28100,26950,21450200,27150
2026-03-07,VPB,27000,27000,26650,15454600,27000
2026-03-08,VPB,27000,27000,26650,15454600,27000
2026-03-11,VPB,25500,26500,25400,17296100,25500
2026-03-12,VPB,25850,26200,25500,12809200,26450
2026-03-14,VPB,25400,26000,25000,13865300,25750
2026-03-15,VPB,25400,26000,25000,13865300,25750
2026-03-18,VPB,25950,26150,25400,9271600,25700
2026-03-26,VPB,26300,26500,25850,19426700,26300
2026-03-29,VPB,26000,26550,25900,11263600,26200
2026-04-08,VPB,27200,27750,26650,24909900,26050
