date,symbol,Open,High,Low,Volume,Close
2026-01-31,VPI,52300,54100,52200,1869800,53000
2026-02-01,VPI,52300,54100,52200,1869800,53000
2026-02-02,VPI,53800,53900,53200,1274100,53900
2026-02-04,VPI,54700,54800,54400,711100,54700
2026-02-04,VPI,54700,55200,54400,845700,54700
2026-02-05,VPI,55100,56800,54500,1118200,55200
2026-02-08,VPI,56600,56800,55700,1115400,56600
2026-02-09,VPI,56700,58600,56300,1480000,56800
2026-02-12,VPI,59700,60000,59000,1625400,59700
2026-02-13,VPI,59700,62300,59000,1204500,59700
2026-02-14,VPI,59700,62300,59000,1204500,59700
2026-02-15,VPI,59700,62300,59000,1204500,59700
2026-02-23,VPI,60100,61100,59700,977000,60000
2026-02-25,VPI,60900,61000,59700,1202300,60900
2026-02-26,VPI,59700,60100,58500,1576800,60000
2026-02-28,VPI,59800,60000,58400,1100200,59900
2026-03-04,VPI,56900,57200,55300,1385300,56900
2026-03-05,VPI,57100,58000,56800,1786200,57200
2026-03-07,VPI,57600,59100,57100,2311900,57800
2026-03-08,VPI,57600,59100,57100,2311900,57800
2026-03-11,VPI,56300,58600,56300,2871900,56500
2026-03-12,VPI,58400,58500,57800,3281100,58500
2026-03-14,VPI,57700,58800,57300,2915100,58000
2026-03-15,VPI,57700,58800,57300,2915100,58000
2026-03-18,VPI,58100,59100,57400,2900900,58200
2026-03-26,VPI,58300,58600,56000,1240000,57900
2026-03-29,VPI,57000,57600,55500,1030500,56900
2026-04-08,VPI,58000,58100,57500,753800,57600
