date,symbol,Open,High,Low,Volume,Close
2026-02-02,VPL,91900,91900,86800,636700,92500
2026-02-04,VPL,86800,86800,80800,457100,86700
2026-02-04,VPL,86800,86800,80700,909500,86700
2026-02-05,VPL,85500,89900,83700,915000,85500
2026-02-08,VPL,84200,87500,83000,602900,86000
2026-02-09,VPL,81100,83500,81100,547200,83000
2026-02-12,VPL,86200,86200,83800,533200,86000
2026-02-13,VPL,85400,85600,83100,506100,85400
2026-02-14,VPL,85400,85600,83100,506100,85400
2026-02-15,VPL,85400,85600,83100,506100,85400
2026-02-23,VPL,85900,85900,84300,324800,85600
2026-02-25,VPL,83500,83600,80100,719500,83500
2026-02-26,VPL,79900,84300,79600,600300,81000
2026-02-28,VPL,82500,84100,80500,223600,81700
2026-03-04,VPL,75900,77500,73900,644600,75900
2026-03-05,VPL,75500,78700,75000,837300,74300
2026-03-07,VPL,75400,78000,74900,478300,75500
2026-03-08,VPL,75400,78000,74900,478300,75500
2026-03-11,VPL,72000,78100,72000,1462000,73000
2026-03-12,VPL,76500,81300,76100,513300,78100
2026-03-14,VPL,80300,81500,77300,792600,80300
2026-03-15,VPL,80300,81500,77300,792600,80300
2026-03-18,VPL,76400,79500,76400,634400,76900
2026-03-26,VPL,83000,83000,80500,469000,82500
2026-03-29,VPL,81000,83000,80000,471900,81800
2026-04-08,VPL,83700,85500,82000,612900,81900
