date,symbol,Open,High,Low,Volume,Close
2026-01-31,VRE,29900,30200,29500,6955000,30000
2026-02-01,VRE,29900,30200,29500,6955000,30000
2026-02-02,VRE,29800,29900,28100,13210300,30200
2026-02-04,VRE,28500,28600,27100,6188300,28400
2026-02-04,VRE,28500,28600,27100,11640600,28400
2026-02-05,VRE,28050,29950,28050,13569200,28250
2026-02-08,VRE,28300,29250,28000,8635700,28800
2026-02-09,VRE,28200,28200,27450,5565300,28050
2026-02-12,VRE,29500,30250,29200,7592200,29400
2026-02-13,VRE,30000,30000,29100,7063500,29950
2026-02-14,VRE,30000,30000,29100,7063500,29950
2026-02-15,VRE,30000,30000,29100,7063500,29950
2026-02-23,VRE,30000,30100,29400,6284400,29800
2026-02-25,VRE,29300,29500,28550,9042700,29500
2026-02-26,VRE,28550,29850,28550,5428900,28550
2026-02-28,VRE,29800,29800,29050,3100400,29750
2026-03-04,VRE,26300,28000,25350,9389800,26350
2026-03-05,VRE,27800,28600,27000,6995600,28000
2026-03-07,VRE,27000,27000,26250,3666200,27000
2026-03-08,VRE,27000,27000,26250,3666200,27000
2026-03-11,VRE,24000,25600,23900,8105900,24050
2026-03-12,VRE,24800,26100,24800,6624900,25600
2026-03-14,VRE,25600,26000,25250,3440100,25900
2026-03-15,VRE,25600,26000,25250,3440100,25900
2026-03-18,VRE,26500,26950,26100,3490200,26450
2026-03-26,VRE,26200,26300,25550,2053900,26350
2026-03-29,VRE,25550,26050,25300,3502600,25550
2026-04-08,VRE,26800,27600,26500,7005000,25800
