date,symbol,Open,High,Low,Volume,Close
2026-01-31,VSC,20700,21050,20550,5121600,20550
2026-02-01,VSC,20700,21050,20550,5121600,20550
2026-02-02,VSC,20800,21500,20600,9045600,20600
2026-02-04,VSC,22400,23000,21900,6245000,22200
2026-02-04,VSC,22400,23000,21900,9321200,22200
2026-02-05,VSC,22300,22450,21600,5738300,22100
2026-02-08,VSC,21150,22950,21050,14183000,21600
2026-02-09,VSC,22750,22800,21700,6730200,22300
2026-02-12,VSC,23300,24450,23300,15596000,23500
2026-02-13,VSC,24300,25650,23900,16338000,24300
2026-02-14,VSC,24300,25650,23900,16338000,24300
2026-02-15,VSC,24300,25650,23900,16338000,24300
2026-02-23,VSC,25000,26100,24300,16120100,24800
2026-02-25,VSC,24900,25500,24600,9058800,24900
2026-02-26,VSC,24700,25750,24450,10353700,24700
2026-02-28,VSC,25250,26300,24950,12120400,25100
2026-03-04,VSC,26900,27350,25600,21334200,27500
2026-03-05,VSC,25600,26100,24600,9097000,25600
2026-03-07,VSC,25250,25550,23950,14331200,25700
2026-03-08,VSC,25250,25550,23950,14331200,25700
2026-03-11,VSC,21700,23350,21700,5347300,21850
2026-03-12,VSC,23350,24350,23200,5408300,23350
2026-03-14,VSC,23800,25300,23800,9552400,24200
2026-03-15,VSC,23800,25300,23800,9552400,24200
2026-03-18,VSC,25300,26150,24900,9372100,25100
2026-03-26,VSC,24100,24100,23550,3119500,23950
2026-03-29,VSC,23500,23950,23350,3753900,23600
2026-04-08,VSC,25700,25700,25100,7899000,24600
