date,symbol,Open,High,Low,Volume,Close
2026-01-31,VTP,111400,113700,111100,974600,111400
2026-02-01,VTP,111400,113700,111100,974600,111400
2026-02-02,VTP,111200,117000,111200,914400,111200
2026-02-04,VTP,117000,117000,114500,404500,116200
2026-02-04,VTP,117000,117000,113400,786600,116200
2026-02-05,VTP,113700,113700,110000,937300,113700
2026-02-08,VTP,108000,111300,106600,858800,110000
2026-02-09,VTP,111500,111800,108100,411700,110600
2026-02-12,VTP,104900,104900,102000,379700,103700
2026-02-13,VTP,102500,104000,101300,492000,102000
2026-02-14,VTP,102500,104000,101300,492000,102000
2026-02-15,VTP,102500,104000,101300,492000,102000
2026-02-23,VTP,105000,109100,104000,546900,102000
2026-02-25,VTP,109000,111000,107000,464300,109000
2026-02-26,VTP,108000,109000,106700,401000,108800
2026-02-28,VTP,106700,108600,104900,627700,106700
2026-03-04,VTP,100400,102200,97000,794500,101100
2026-03-05,VTP,102900,104000,100600,281400,100500
2026-03-07,VTP,100600,100600,97600,537300,100600
2026-03-08,VTP,100600,100600,97600,537300,100600
2026-03-11,VTP,91300,95000,90800,497900,91500
2026-03-12,VTP,94300,94300,91500,396900,94300
2026-03-14,VTP,91000,91000,89000,720000,91600
2026-03-15,VTP,91000,91000,89000,720000,91600
2026-03-18,VTP,90000,91400,89700,297900,89700
2026-03-26,VTP,90900,95100,90100,853300,88900
2026-03-29,VTP,99000,101000,97200,1072000,95100
2026-04-08,VTP,75500,75500,72500,422100,72200
