Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
20,100000,10.0,0.35,0.0,0.001,0.001,0.004,26467,197,392,353,0.008225321923487591,0.004623281107161059,15.346121077502069,3.0095100762205886,0.2372033685462569,53.826530612244895,2.799684571475533,1.575501671426959
10,100000,10.0,0.35,0.0,0.001,0.001,0.004,26467,197,392,353,0.008116934637376172,0.00451489382104964,14.570172908573367,2.8183383770292836,0.2372033685462569,54.33673469387755,2.741918943240806,1.5268846428743705
5,100000,10.0,0.35,0.0,0.001,0.001,0.004,26467,197,392,353,0.007745860263418178,0.004143819447091646,12.196711962099203,2.2338615837519815,0.2372033685462569,52.55102040816326,2.55773128834971,1.3697213969837656
20,200000,10.0,0.35,0.0,0.001,0.001,0.004,22458,159,392,351,0.007421591225205718,0.0038399585721444916,10.977778562511974,1.9580034647987294,0.27001827109821885,53.06122448979592,2.5316371031421485,1.3113091623682287
10,200000,10.0,0.35,0.0,0.001,0.001,0.004,22458,159,392,351,0.007407929453630905,0.0038262968005696786,10.840631028583344,1.923925506282226,0.27001827109821885,53.826530612244895,2.508717796805193,1.2971786523514377
20,50000,10.0,0.35,0.0,0.001,0.001,0.004,31255,225,392,358,0.0073801117891885894,0.003727050564698793,10.690815824810235,1.806878791253245,0.13284328925088196,53.316326530612244,2.498089859353986,1.2626766851994307
10,50000,10.0,0.35,0.0,0.001,0.001,0.004,31255,225,392,358,0.007213511090257227,0.003560449865767429,9.886621230457147,1.6129865575224387,0.13284328925088196,53.316326530612244,2.423605634871093,1.1972502911357168
5,50000,10.0,0.35,0.0,0.001,0.001,0.004,31255,225,392,358,0.007112032596185205,0.003458971371695407,9.205744805931797,1.4486753843037632,0.13284328925088196,52.04081632653062,2.3254408778044584,1.1318725492596764
5,200000,10.0,0.35,0.0,0.001,0.001,0.004,22458,159,392,351,0.0069585829847358715,0.0033769503316746453,8.74199171519269,1.4036093520968338,0.27001827109821885,51.78571428571429,2.3054256918146363,1.1198643188425312
20,100000,5.0,0.45,0.0,0.001,0.001,0.004,32062,245,392,94,0.00388753304959679,0.0029283493761274016,2.294188154908827,1.2679289502895355,-0.08498368206858609,13.010204081632654,1.4912563394022904,1.13019118855611
5,100000,5.0,0.45,0.0,0.001,0.001,0.004,32062,245,392,94,0.0038040957645228022,0.0028449120910534137,2.1752293843514234,1.1856741141703964,-0.08498368206858609,12.755102040816327,1.4494200829246509,1.0903408748910284
10,100000,5.0,0.45,0.0,0.001,0.001,0.004,32062,245,392,94,0.003780556491911249,0.0028213728184418607,2.1584418935233307,1.1741038227389713,-0.08498368206858609,12.5,1.4495608312851411,1.0881930747188473
10,200000,5.0,0.45,0.0,0.001,0.001,0.004,26381,197,392,91,0.0036343904467074973,0.002705819018136068,2.053963165650813,1.1275232393882395,-0.039495994101378384,12.244897959183673,1.4477174665952848,1.0845183562442038
20,200000,5.0,0.45,0.0,0.001,0.001,0.004,26381,197,392,91,0.0036343904467074973,0.002705819018136068,2.053963165650813,1.1275232393882395,-0.039495994101378384,12.244897959183673,1.4477174665952848,1.0845183562442038
5,200000,5.0,0.45,0.0,0.001,0.001,0.004,26381,197,392,91,0.0034835487557512528,0.002554977327179823,1.8783188267943527,1.004683723596599,-0.039495994101378384,11.989795918367346,1.3870092876301774,1.0232920297895454
5,50000,5.0,0.55,0.0,0.001,0.001,0.004,38898,282,392,2,0.0005686619428772647,0.0005482537796119586,0.234487580583997,0.22561191865756536,-0.16059856797429284,0.5102040816326531,1.0981799914505805,1.0955082151297924
10,50000,5.0,0.55,0.0,0.001,0.001,0.004,38898,282,392,2,0.0005686619428772647,0.0005482537796119586,0.234487580583997,0.22561191865756536,-0.16059856797429284,0.5102040816326531,1.0981799914505805,1.0955082151297924
20,50000,5.0,0.55,0.0,0.001,0.001,0.004,38898,282,392,2,0.0005686619428772647,0.0005482537796119586,0.234487580583997,0.22561191865756536,-0.16059856797429284,0.5102040816326531,1.0981799914505805,1.0955082151297924
20,100000,5.0,0.35,0.0,0.001,0.001,0.004,32062,245,392,370,0.005069340466756047,0.0012938302626744125,4.050480739225283,0.15204836360470253,-0.08498368206858609,54.8469387755102,1.861989642658592,0.47541147303364556
5,100000,5.0,0.55,0.0,0.001,0.001,0.004,32062,245,392,1,0.0003587372448979592,0.0003485331632653061,0.140625,0.136625,-0.08498368206858609,0.25510204081632654,0.8017837257372733,0.8017837257372734
10,100000,5.0,0.55,0.0,0.001,0.001,0.004,32062,245,392,1,0.0003587372448979592,0.0003485331632653061,0.140625,0.136625,-0.08498368206858609,0.25510204081632654,0.8017837257372733,0.8017837257372734
20,100000,5.0,0.55,0.0,0.001,0.001,0.004,32062,245,392,1,0.0003587372448979592,0.0003485331632653061,0.140625,0.136625,-0.08498368206858609,0.25510204081632654,0.8017837257372733,0.8017837257372734
20,50000,5.0,0.45,0.0,0.001,0.001,0.004,38898,282,392,109,0.002391411465593094,0.0012791665676339093,0.7499571154142675,0.13137251826485152,-0.16059856797429284,14.285714285714285,0.8633589207640816,0.4630852970341684
10,50000,5.0,0.45,0.0,0.001,0.001,0.004,38898,282,392,109,0.0023256584496258404,0.0012134135516666557,0.7035111171913593,0.10122106252951912,-0.16059856797429284,13.77551020408163,0.838162818755909,0.43847123855618303
10,100000,5.0,0.35,0.0,0.001,0.001,0.004,32062,245,392,370,0.004990594420751408,0.0012150842166697734,3.8136087737007927,0.09772837811079715,-0.08498368206858609,53.57142857142857,1.7909583950820824,0.43620902778591103
5,50000,10.0,0.55,0.0,0.001,0.001,0.004,31255,225,392,1,0.00020992469797930552,0.00019972061634665245,0.08229048160788777,0.07829048160788776,0.13284328925088196,0.25510204081632654,0.801783725737273,0.8017837257372733
10,50000,10.0,0.55,0.0,0.001,0.001,0.004,31255,225,392,1,0.00020992469797930552,0.00019972061634665245,0.08229048160788777,0.07829048160788776,0.13284328925088196,0.25510204081632654,0.801783725737273,0.8017837257372733
20,50000,10.0,0.55,0.0,0.001,0.001,0.004,31255,225,392,1,0.00020992469797930552,0.00019972061634665245,0.08229048160788777,0.07829048160788776,0.13284328925088196,0.25510204081632654,0.801783725737273,0.8017837257372733
5,50000,5.0,0.45,0.0,0.001,0.001,0.004,38898,282,392,109,0.002127731547135347,0.001015486649176162,0.5775691022431573,0.019494487294003715,-0.16059856797429284,13.77551020408163,0.767729428890087,0.3672728923518848
5,100000,5.0,0.35,0.0,0.001,0.001,0.004,32062,245,392,370,0.004861848877761677,0.001086338673680043,3.4519996252969163,0.014830649650007244,-0.08498368206858609,53.826530612244895,1.6853709683461198,0.37670202974901595
5,50000,5.0,0.6,0.0,0.001,0.001,0.004,38898,282,392,0,0.0,0.0,0.0,0.0,-0.16059856797429284,0.0,0.0,0.0
5,50000,5.0,0.65,0.0,0.001,0.001,0.004,38898,282,392,0,0.0,0.0,0.0,0.0,-0.16059856797429284,0.0,0.0,0.0
5,50000,10.0,0.6,0.0,0.001,0.001,0.004,31255,225,392,0,0.0,0.0,0.0,0.0,0.13284328925088196,0.0,0.0,0.0
5,50000,10.0,0.65,0.0,0.001,0.001,0.004,31255,225,392,0,0.0,0.0,0.0,0.0,0.13284328925088196,0.0,0.0,0.0
5,100000,5.0,0.6,0.0,0.001,0.001,0.004,32062,245,392,0,0.0,0.0,0.0,0.0,-0.08498368206858609,0.0,0.0,0.0
5,100000,5.0,0.65,0.0,0.001,0.001,0.004,32062,245,392,0,0.0,0.0,0.0,0.0,-0.08498368206858609,0.0,0.0,0.0
5,100000,10.0,0.55,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
5,100000,10.0,0.6,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
5,100000,10.0,0.65,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
5,200000,5.0,0.55,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
5,200000,5.0,0.6,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
5,200000,5.0,0.65,0.0,0.001,0.001,0.004,26381,197,392,0,0.0,0.0,0.0,0.0,-0.039495994101378384,0.0,0.0,0.0
5,200000,10.0,0.55,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
5,200000,10.0,0.6,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
5,200000,10.0,0.65,0.0,0.001,0.001,0.004,22458,159,392,0,0.0,0.0,0.0,0.0,0.27001827109821885,0.0,0.0,0.0
10,50000,5.0,0.6,0.0,0.001,0.001,0.004,38898,282,392,0,0.0,0.0,0.0,0.0,-0.16059856797429284,0.0,0.0,0.0
10,50000,5.0,0.65,0.0,0.001,0.001,0.004,38898,282,392,0,0.0,0.0,0.0,0.0,-0.16059856797429284,0.0,0.0,0.0
10,50000,10.0,0.6,0.0,0.001,0.001,0.004,31255,225,392,0,0.0,0.0,0.0,0.0,0.13284328925088196,0.0,0.0,0.0
10,50000,10.0,0.65,0.0,0.001,0.001,0.004,31255,225,392,0,0.0,0.0,0.0,0.0,0.13284328925088196,0.0,0.0,0.0
10,100000,5.0,0.6,0.0,0.001,0.001,0.004,32062,245,392,0,0.0,0.0,0.0,0.0,-0.08498368206858609,0.0,0.0,0.0
10,100000,5.0,0.65,0.0,0.001,0.001,0.004,32062,245,392,0,0.0,0.0,0.0,0.0,-0.08498368206858609,0.0,0.0,0.0
10,100000,10.0,0.55,0.0,0.001,0.001,0.004,26467,197,392,0,0.0,0.0,0.0,0.0,0.2372033685462569,0.0,0.0,0.0
