feature,importance
volatility_20d,0.16949233
return_3d,0.11595226
volatility_5d,0.09635987
return_1d,0.0614562
daily_range,0.05896115
price_vs_ma20,0.05056727
volume,0.04613553
return_5d,0.04517914
close_position,0.044369806
volume_ma_5,0.033919953
drawdown_20d,0.031253792
rolling_max_20d,0.025548013
ma5_vs_ma20,0.023255227
return_20d,0.022061937
volume_ma_20,0.02188746
return_10d,0.017529728
ma_5,0.01722854
low,0.016843427
close,0.014975555
volume_change_1d,0.013369787
ma_50,0.012276666
ma_20,0.011897668
open,0.011566821
high,0.010445351
body_ratio,0.009495733
volume_ratio_5_20,0.0092340745
volatility_change,0.008736758
